s_adj,sex,age,unit,geo\time	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSA,T,Y25-74,PC,EE	: 	: 	: 	: 	: 	: 	13.4 	11.9 	10.5 	9.0 	8.4 	7.2 	5.2 	3.9 	4.6 i	11.9 	14.9 	11.2 	8.9 	7.6 	6.7 	: 
NSA,T,Y25-74,PC,EL	: 	: 	: 	: 	8.2 	9.1 	8.7 	8.5 	8.4 	7.9 i	8.8 	8.4 	7.5 	7.2 	6.6 	8.4 	11.2 	15.9 	22.3 	25.4 	24.8 	: 
NSA,T,Y25-74,PC,ES	17.9 	17.1 i	16.3 	15.3 	13.7 	11.4 	10.1 	8.9 	9.8 	9.9 	9.5 	7.7 	7.2 	7.0 	9.7 	15.7 	17.8 	19.2 	22.5 	23.8 	22.3 	20.2 
NSA,T,Y25-74,PC,FI	14.5 	13.7 	13.0 	11.0 	9.7 	8.6 	8.1 	7.6 	7.4 	7.2 	7.2 	6.8 	6.2 	5.4 	4.9 	6.4 	6.6 	6.1 	6.1 	6.5 	7.0 	7.6 
NSA,T,Y25-74,PC,FR	6.3 	6.2 i	6.3 	6.3 	6.1 	6.0 	5.2 	4.8 	4.7 	7.3 	7.5 	7.4 	7.3 	6.7 	6.1 	7.4 	7.7 	7.7 	8.2 	8.7 	8.9 	8.8 
NSA,T,Y25-74,PC,HR	: 	: 	: 	: 	: 	: 	12.5 	12.1 	12.1 	11.3 	11.4 	10.5 	9.6 i	8.2 	6.9 	7.5 	9.5 	11.6 	13.7 	14.4 	14.6 	14.0 
NSA,T,Y25-74,PC,HU	: 	: 	8.4 	7.7 	7.5 	5.8 	5.4 	4.8 	4.8 	4.9 	5.2 	6.1 	6.5 	6.5 	6.9 i	8.8 	10.0 	9.9 	9.7 	8.9 	6.7 	: 
NSA,T,Y25-74,PC,IE	12.2 	10.6 	10.2 	8.6 	6.6 	4.9 	3.6 	3.2 	3.6 	3.7 	3.6 	3.6 	3.7 	3.8 	5.2 	10.1 	12.0 	12.9 	12.9 	11.6 	10.0 	8.3 
NSA,T,Y25-74,PC,IT	7.5 	8.1 	8.3 	8.5 	8.7 	8.5 	7.9 	7.3 	6.9 	6.8 	6.5 	6.2 	5.5 	4.9 	5.6 	6.4 	6.9 	6.9 	8.9 	10.2 	10.6 	: 
NSA,T,Y25-74,PC,LT	: 	: 	: 	: 	11.9 	12.9 	14.8 	15.9 	12.8 	11.1 	9.9 	7.7 	5.4 	3.9 	5.0 	12.2 	16.1 	13.9 	12.2 	10.9 	9.9 	8.4 
